"用例ID","模块","用例名称","前置条件","测试步骤","预期结果","备注","自动化脚本","关联需求","是否自动化"
"TC-001","登录","首页账号密码登录","已配置可用测试账号；首页可正常访问","1. 打开首页 2. 点击 Log In 3. 输入邮箱和密码 4. 提交登录","登录成功，系统识别为已登录状态","Smoke 用例","tests/test_login.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-002","首页导航","已登录后首页头部不再展示 Log In 入口","已配置可用测试账号；首页可访问","1. 使用账号密码登录 2. 校验用户已登录 3. 检查首页头部导航文案","登录成功后，首页头部导航中不再展示 Log In 入口","登录态导航","tests/test_home_logged_in_navigation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-003","首页导航","首页头部导航展示校验","首页可访问","1. 打开首页 2. 检查头部导航核心菜单项","首页头部导航核心菜单项展示完整且符合预期","导航展示","tests/test_home_top_navigation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-004","首页导航","从非首页点击 Logo 返回首页","首页可访问","1. 从首页进入 Private Jet 页面 2. 等待页面加载完成 3. 点击头部 Logo 4. 校验当前页面与头部导航","点击 Logo 后成功返回首页，且首页头部导航展示正常","导航返回","tests/test_home_top_navigation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-005","首页 Banner","首页 Banner 加载与链接校验","首页可访问","1. 打开首页 2. 检查 Hero Banner 是否展示 3. 校验 Banner 跳转链接","Banner 正常加载，且链接地址与预期目标一致","首页 Banner 校验","tests/test_home_banner.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-006","首页 Banner","点击首页 Banner 跳转目标页","首页可访问","1. 打开首页 2. 点击 Hero Banner 3. 校验当前地址","页面成功跳转到 Banner 目标站点，且不再停留在首页","跳转校验","tests/test_home_banner.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-007","首页搜索","首页搜索未填写出发地和目的地时提示必填","首页可访问","1. 打开首页 2. 不填写出发地和目的地直接点击 Search 3. 校验页面错误提示","页面展示至少 2 个地点必填提示，且仍停留在首页","必填校验","tests/test_home_search_validation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-008","首页搜索","首页搜索拒绝特殊字符出发地输入","首页可访问","1. 打开首页 2. 在出发地输入特殊字符但不选择下拉项 3. 输入有效目的地 4. 点击 Search 5. 校验页面错误提示","页面提示需要选择有效地点，且不会进入搜索结果页","输入校验 special_chars","tests/test_home_search_validation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-009","首页搜索","首页搜索拒绝超长出发地输入","首页可访问","1. 打开首页 2. 在出发地输入超长字符串但不选择下拉项 3. 输入有效目的地 4. 点击 Search 5. 校验页面错误提示","页面提示需要选择有效地点，且不会进入搜索结果页","输入校验 overlong","tests/test_home_search_validation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-010","首页搜索","首页搜索禁止出发城市与目的城市相同","首页可访问","1. 打开首页 2. 输入相同的出发城市和目的城市 3. 点击 Search 4. 校验页面错误提示","页面展示相同城市校验提示，且不会进入搜索结果页","业务规则校验","tests/test_search_same_city_validation.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-011","首页热门航线","首页热门航线展示与详情页跳转校验","首页可访问","1. 打开首页 2. 获取热门航线可见链接 3. 校验至少展示 3 条航线且链接包含 /fixed-route-charter/ 4. 打开首条航线 5. 校验已进入详情页","热门航线模块正常展示有效航线，且可成功进入对应详情页","热门航线校验","tests/test_home_popular_routes.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-012","首页入口","首页进入 Private Jet 页面并校验内容","首页可访问","1. 从首页打开 Private Jet 页面 2. 等待页面加载 3. 检查页面关键内容 4. 检查图片是否损坏 5. 检查链接是否可访问","页面内容符合预期，且无损坏图片、无不可访问链接","入口页校验","tests/test_private_jet_entry.py","【官网V4.0.3】Private Jet Charter / 官网 V4.0.3 回归","是"
"TC-013","首页入口","首页进入 Jet Card 页面并提交表单","首页可访问","1. 从首页打开 Jet Card 页面 2. 等待页面加载 3. 填写姓名、邮箱、电话和留言 4. 提交表单","成功进入 Thank You 页面","表单提交","tests/test_jet_card_entry.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-014","首页入口","首页 Empty Leg 模块图片与预订弹窗校验","首页可访问","1. 检查 Empty Leg 模块图片 2. 打开预订弹窗 3. 填写姓名、邮箱、电话和留言 4. 提交表单","图片无损坏，且提交后成功进入 Thank You 页面","首页模块","tests/test_empty_leg_entry.py","【官网V4.0.3】Empty Legs / Empty Leg 回归","是"
"TC-015","首页入口","首页进入 Travel Credit 页面并校验内容","首页可访问","1. 从首页打开 Travel Credit 页面 2. 等待页面加载 3. 检查页面关键内容 4. 检查内容图片是否损坏 5. 检查链接是否可访问","页面内容符合预期，且无损坏图片、无不可访问链接","入口页校验","tests/test_travel_credit_entry.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-016","首页 Empty Leg","首页 Empty Leg 模块展示与 CTA 校验","首页可访问","1. 打开首页 2. 检查 Empty Leg 模块是否展示 3. 校验模块图片无损坏 4. 校验 View More 和 Get Alerts 等当前可见 CTA","Empty Leg 模块正常展示，图片无损坏，View More 和 Get Alerts 可见","V4.1.1 起不再按首页模块价格字段做固定断言","tests/test_home_empty_leg_display.py","【官网V4.0.3】Empty Legs / Empty Leg 回归；V4.1.1 Empty Leg 页面优化","是"
